ID,CU,G,ED,EC,E,M1,M2,M3,M4,M5,M6,D1,D2,D3,D4,D5,D6,P1,P2,P3,P4,P5,P6,SP
8105,26000,F,2,Casado,39,2,0,0,2,2,2,13600.7,13921.5,14612.7,14363.7,15453.1,14701.6,540,950,0,1276.6,0,0,Si
8106,50000,F,1,Casado,34,-2,-2,-1,2,2,-2,0,0,350,350,0,0,0,350,0,0,0,0,Si
8107,13000,M,1,Soltero,27,-1,-1,-2,-2,-2,-2,196,0,0,0,0,0,0,0,0,0,0,0,No
8108,3000,M,2,Soltero,39,0,0,0,0,0,0,2870.8,2828.5,2670.2,2011.5,1842.6,1801.3,151.4,127.8,67.1,87,87.9,0,No
8109,16000,F,1,Soltero,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No
8110,42000,F,2,Casado,40,-2,-2,-2,-2,-2,-1,397.6,289.2,289,339.1,240.9,427,291.6,789.8,340.1,241.6,428.1,378.5,Si
8111,5000,F,3,Casado,22,2,2,2,2,2,2,4018.9,4343.4,4431.6,4518.9,4621.4,4890.4,390,190,190,190,360,0,No
8112,3000,F,1,Soltero,36,1,2,0,0,0,0,2574.7,2504.8,2606,2657.8,2713.3,2778.3,0,143.3,95.1,98.3,109.9,75,Si
8113,5000,F,2,Soltero,32,0,0,2,0,0,0,4025.3,4075.7,3392.2,3009.7,2901.3,2816.7,580.6,0.6,100,100,120,110,No
8114,16000,F,1,Casado,39,1,-1,2,2,-2,-2,-0.5,77.6,18.6,0,0,0,78.1,0,0,0,0,0,Si
8115,12000,F,2,Soltero,26,3,3,2,2,3,2,1203.4,1254.8,1205.6,1395.8,1346.8,614.4,100,0,240,10,0,5725.8,No
8116,5000,F,1,Soltero,28,0,0,0,0,0,0,4647.1,4350.7,4401.6,4339.6,4147,4867.6,180.7,201.6,179.6,157,1000,177.8,No
8117,13000,M,2,Soltero,42,0,0,0,-2,-2,-2,13088.8,13340,0,0,0,0,600,0,0,0,0,0,No
8118,15000,M,1,Soltero,42,2,0,0,0,0,0,14389.6,14747.5,7542.3,7003.4,4431.1,2005.6,648.2,344,204.6,431.1,505.6,116.9,Si
8119,45000,M,1,Casado,48,-1,2,-1,-1,-1,-1,551.4,150.9,94.9,57.5,348.9,0,0,94.9,57.5,492.9,0,0,Si
8120,15000,M,1,Casado,29,-1,-1,-1,0,0,-2,4674.5,2085.3,9078.7,1123.2,0,0,2099.5,9126.9,5.6,0,0,0,No
8121,9000,F,2,Soltero,53,0,0,0,-2,-2,-1,3004.5,3000,0,0,0,43.9,100,0,0,0,43.9,2095.9,No
8122,13000,M,1,Soltero,28,0,0,0,0,0,-2,9217.4,9399.1,5473.5,3168.2,0,0,408.6,263.5,170,0,0,0,No
8123,13000,M,2,Soltero,30,0,0,0,0,0,2,13180.1,12914.1,13222.1,13174.3,13198.6,13143,480,525,505,570,510,501.2,No
8124,39000,F,2,Casado,41,-2,-1,0,0,0,0,398.3,2514.6,19753.4,17969,17017.3,16433.9,2514.6,18505.9,913.7,651.3,505.8,600,No
8125,20000,M,2,Soltero,29,2,2,4,4,4,4,250,250,250,250,250,250,0,0,0,0,0,0,Si
8126,30000,F,2,Casado,50,0,0,0,0,0,0,2343.6,2205.5,1849.7,842.6,1129.1,1444.9,135,200.8,30.1,300,500,500,No
8127,14000,F,2,Casado,42,0,0,0,0,0,0,1908,1880.7,1862.4,1965.2,2347.7,2233,434.4,454.8,376,585.4,303.9,386.6,No
8128,20000,F,1,Soltero,35,-1,-1,-1,-1,-1,-1,90.9,270.8,351.4,229.7,92.8,0,271.1,351.4,229.7,92.8,0,230.8,No
8129,3000,M,2,Soltero,30,0,0,0,0,0,0,2702,2798.5,2878.2,2408.2,1706,0,170.3,150,100,100,0,0,No
8130,3000,M,3,Soltero,24,2,2,2,0,0,-2,2847,3140.7,3020,3000,0,0,340.7,0,0,0,0,0,No
8131,16000,F,1,Soltero,37,0,0,0,0,0,0,15300.2,15742.7,15816,15631.4,14566.3,11348.6,781.2,670,500,504.9,382.5,357,No
8132,21000,F,2,Soltero,37,0,0,0,0,0,0,3109,5805.4,4462.4,4333.9,4424.5,4512.5,2800.8,1500,155.2,160.5,161.5,169.8,No
8133,31000,F,2,Soltero,51,-2,-2,-2,-2,-2,-2,10.7,0,0,23.5,0,0,0,0,23.5,0,0,58.4,No
8134,40000,F,2,Casado,33,0,0,-2,-2,-2,-2,994,0,1145.1,10.1,55.1,1998.2,0,1145.1,10.4,60,2001.5,0,No
8135,5000,F,3,Casado,35,2,2,2,2,0,0,4987.3,5079.6,4972.7,2182.6,1020.8,1010,220,56.8,0,51.6,40,30,Si
8136,8000,M,2,Casado,33,0,0,-1,-1,-1,0,2849.6,1698.4,115.5,-14.4,5724.5,4994.7,100,115.5,0,5900,206.1,139,No
8137,34000,F,1,Soltero,33,-1,-1,-1,-1,-1,-1,59.2,710.2,779.6,165.3,618.5,41.5,710.2,779.6,165.3,618.5,41.5,224.7,No
8138,14000,M,1,Soltero,27,-2,-1,0,0,0,0,2500.1,13843,13557.3,9817.2,9367.7,9527.6,14147.2,800,507.5,400,400,500,No
8139,38000,M,1,Casado,39,2,0,0,0,0,0,12744.9,13050.6,13283.8,13661.6,14024,14391.4,660,600,600,600,600,600.5,Si
8140,5000,F,2,Casado,34,1,2,2,0,0,2,5104.6,5233.7,5117,5152.6,5052.4,4851,240,0,300,600,0,200,Si
8141,1000,M,2,Soltero,35,0,0,0,0,0,0,702.6,810.6,936.3,955.9,985.5,1004.2,120,140,50,60,50,20,No
8142,3000,F,2,Soltero,28,-1,-1,-2,-1,-1,-1,568.8,-37.8,-37.8,92,544.8,0,0,0,129.8,544.8,0,1000,No
8143,36000,F,1,Casado,50,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Si
8144,15000,F,2,Casado,47,-1,-1,-1,-1,-1,2,31.6,31.6,31.6,0,78.2,31.6,31.6,31.6,0,109.8,0,0,No
8145,5000,M,1,Soltero,23,0,0,2,2,0,0,1533.6,1868.1,1946.3,1689.4,1766.7,1921.1,360,140,0,120,200,100,No
8146,12000,M,2,Otros,42,0,0,0,0,0,0,313.5,442.2,554,644.2,718.2,805.7,150,120,100,100,100,100,No
8147,25000,F,1,Soltero,35,-2,-2,-2,-2,-2,-2,66.1,66.1,26.8,0,0,0,0,26.8,0,0,0,0,No
8148,2000,M,1,Soltero,24,0,0,0,0,0,0,1335.9,1443.8,1546.1,1620,1693.6,1727.3,130,127,100,100,61.9,80,Si
8149,3000,F,1,Casado,30,0,0,2,2,0,0,1519.9,1772.8,1912.9,1852.7,1875.8,1928.5,310,200,0,67.9,83.7,72.1,Si
8150,26000,M,1,Soltero,27,0,0,0,0,0,0,15871.1,12979.6,10172.1,7669.9,5673.8,3913.4,3000,413.2,341,260,180,120,No
8151,25000,F,1,Soltero,30,0,0,0,0,-1,-1,2155,2393.2,3732.9,2633.9,483.6,965.5,350,1505.4,788.5,483.6,965.5,500,No
8152,26000,F,2,Casado,41,-1,-1,-1,-1,-1,-1,269.9,354.3,50,354,295.7,91.7,354.3,50.5,354,295.7,91.7,0,No
8153,15000,F,2,Casado,35,0,0,0,0,0,0,12827.8,13171.5,13362.5,4901.9,4480.1,3974.2,700,600,180,160,200,170,No
8154,16000,F,2,Soltero,33,-1,-1,-1,0,0,0,1185.9,0,1135.4,1301.2,1738.8,2414,0,1135.4,200,600,1300,1100,No
8155,8000,M,2,Soltero,30,0,0,0,-2,-2,-2,7981.3,8215,0,0,0,0,375,0,0,0,0,0,No
8156,50000,F,1,Soltero,38,1,-2,-2,-2,-2,-2,2779.4,2971.2,6543.7,3036.8,626.5,4419.6,3019.9,7040.3,3045.5,3.6,4522.5,3521.7,No
8157,11000,F,2,Soltero,29,1,2,2,2,2,2,2106.8,1641.2,1680.9,868.2,886.1,862.3,110.2,100,0,60.2,0,100,No
8158,10000,M,1,Soltero,28,0,0,0,0,0,0,9703.2,9989.5,2633.3,2811,222.6,0,534.1,700.9,177.7,200,0,0,No
8159,36000,F,1,Casado,35,0,0,0,0,0,0,10195.3,12523.8,20520.9,12598.2,12816.1,13644.7,2523.8,438.5,1193.9,568.1,1044.7,801,No
8160,33000,M,2,Casado,65,-2,-1,-1,-2,-2,-2,0,250,0,0,0,0,250,0,0,0,0,0,No
8161,7000,F,3,Casado,32,0,0,0,2,0,0,1085.6,1082.2,1362.7,1085.2,1267.6,1446.3,200,300,0,200,300,400,No
8162,14000,M,1,Soltero,29,-1,-1,2,0,0,-1,171.2,230.4,97.8,65.2,32.6,105.2,231.4,0,0,0,105.2,65.2,Si
8163,20000,M,1,Soltero,31,0,0,0,0,0,0,15181.9,15491.4,15777.6,16052,16387.8,16787.2,600,576.9,541.1,560.3,636.7,450,No
8164,5000,M,2,Casado,49,2,0,0,0,0,0,4758.5,4758.2,2139.1,2186.7,1977.4,2048.6,250,130,200,70,100,260,Si
8165,29000,M,1,Casado,56,0,0,0,0,0,0,22200,22691.7,41570,23273.2,22046,22478,1001.3,850.1,1501.8,1000.1,799.7,762.4,No
8166,3000,M,2,Casado,57,0,0,0,0,0,-1,2920.4,2056.4,1634.1,759.3,782.8,136.6,140,100,100,23.5,136.6,0,No
8167,18000,F,1,Soltero,31,0,0,0,0,0,0,2176,2279.4,2380.1,2411.7,2446.8,2510.6,168.9,169.3,100.9,88.8,104.5,107.7,No
8168,3000,M,2,Casado,38,1,2,2,0,-1,-1,1606.3,1751.2,1680,1660,1195.9,1295.7,200,0,0,1195.9,120,0,No
8169,18000,F,1,Casado,47,0,0,0,0,0,0,17464.8,10417.9,8494,6561.3,6725.6,7193.4,500,1300,300,270,600,500,No
8170,24000,M,1,Casado,39,-1,-1,-1,-1,-1,-1,268.8,268.8,268.8,268.8,268.8,268.8,268.8,268.8,268.8,268.8,268.8,268.8,No
8171,13000,F,5,Casado,27,0,0,0,0,0,0,13379.2,12762.2,12979.5,12241.6,12465.3,12699.5,500,500,500,500,500,400,No
8172,23000,M,1,Casado,32,1,-2,-2,-2,-2,-1,0,0,0,0,0,15,0,0,0,0,15,99,Si
8173,50000,M,1,Soltero,43,0,0,0,-1,-1,-1,50464.4,51265,0,388.7,0,741.3,2265,0,388.7,0,741.3,0,Si
8174,36000,M,2,Soltero,33,1,-1,-1,-2,-2,-2,19774.6,15160,74.1,-65.9,-65.9,-65.9,15610.8,74.1,65.9,0,0,0,No
8175,5000,M,2,Soltero,23,2,2,0,0,0,0,5215.6,5104.1,5020.5,2021.8,2026.3,1986.4,0,131,70.5,75,73,70,Si
8176,20000,M,1,Soltero,31,-1,-1,-1,0,0,-1,370.2,2554.8,1059.4,796.9,286.5,562.5,2567.8,1062.3,2.5,1.6,600,1.9,Si
8177,23000,M,3,Casado,45,0,0,0,0,0,0,20313.5,20822.5,17855.9,17277.2,17505.7,17711.3,1000,652.8,600,650,700,1000,No
8178,7000,F,2,Casado,32,3,3,4,4,5,6,3150.7,3369.9,3583.9,3795.4,3978.7,4160.1,300,300,300,300,300,0,Si
8179,5000,M,2,Soltero,29,2,2,2,2,2,2,3963.4,4069.7,4152.6,4204.5,4282.2,4396.2,200,180,150,160,200,170,Si
8180,50000,M,1,Casado,46,-1,-1,-1,-2,-2,-1,1067.8,691.4,81.3,1728,2616.2,251.8,694.4,81.3,1728,2616.2,253.4,255.3,No
8181,14000,M,2,Casado,28,0,0,0,0,0,0,11038.4,10638.9,9797.8,9885.7,10126.4,10352.4,372.9,353.9,353.8,400,409.7,363.1,Si
8182,14000,F,2,Soltero,23,-1,-1,-1,0,0,0,39.6,39.6,2157,2498.6,2525.6,2509.1,39.6,2157,450,105,118.3,600,No
8183,13000,M,2,Soltero,32,0,0,0,2,0,0,10929.2,11190.8,11146.5,9355.7,9558.2,9622.6,450,1135,0,350,420,300,Si
8184,16000,F,3,Casado,48,0,0,2,0,0,0,15339,15842.1,15283.5,15263.8,14245.4,12889.5,1510.2,0,600,530,478.4,450,No
8185,5000,F,3,Soltero,58,1,-1,2,0,0,0,0,958.7,884.5,886.7,907.4,925.4,1058.7,33.1,31.7,35,33.1,50,No
8186,2000,M,3,Casado,41,0,0,0,2,0,0,1322.5,1365.5,1446.1,1322.1,1259.1,1263.1,170,210,0,45.8,100,100,Si
8187,36000,F,2,Casado,42,0,0,0,0,0,0,11836.8,12493.4,13132.8,13760.5,14072.9,14619.4,1000,1000,1000,550,800,600,No
8188,16000,F,2,Casado,51,0,0,0,2,0,0,6761,6990.8,7808.7,7525.5,7859.3,5981.6,400,1000,0,500,300,300,Si
8189,25000,F,1,Casado,37,-2,-1,2,2,-1,0,0,288.6,232.5,17.7,806.8,558.7,288.6,20.2,0,806.8,62,0,No
8190,13000,F,2,Soltero,25,-2,-2,-2,-2,-2,-1,66.8,101.7,129.8,55,-28.6,5513.8,120,130,96.4,169.8,6054.9,500,Si
8191,19000,M,1,Soltero,36,1,2,2,2,2,2,15336.4,14948.2,16000,15593.2,16641.4,16962.5,0,1300,0,1300,610,0,Si
8192,18000,F,2,Soltero,25,-1,-1,-1,-1,-1,-1,298.4,15.4,211.1,102.7,59.6,58.9,15.4,211.5,102.7,59.6,58.9,111.5,No
8193,8000,M,2,Soltero,43,0,0,0,0,0,0,7814.4,7894,8023.8,5064.2,5053.3,5075.8,331.8,346.3,160,177,5000,175.3,No
8194,24000,M,1,Soltero,40,-1,-1,-1,-1,-1,-1,164.3,706,65,477,251.5,3740.5,800,500,500,0,4000,2266.9,No
8195,5000,M,2,Soltero,35,0,0,0,0,0,0,4806.4,4939.9,4994.3,1856.8,1874,1903.6,250,200,100,100,100,100,No
8196,16000,F,2,Soltero,50,-1,2,-1,0,-1,2,313.9,147.3,186.3,39,93,39,0,186.3,0,93,0,0,No
8197,9000,F,2,Casado,49,-2,-2,-2,-2,-2,-2,26.4,0,52.8,0,52.8,26.4,0,52.8,0,52.8,26.4,0,No
8198,31000,F,2,Casado,37,-2,-2,-2,-1,0,0,10064.8,-200,350,15902.8,16237.2,16558.8,71.6,600,15902.8,589.9,592.1,613,No
8199,6000,M,1,Soltero,27,0,0,0,0,2,2,3906.8,4010.7,4113.7,4364.4,4449.8,4541.7,197,200,350,170,180,0,No
8200,24000,M,1,Soltero,29,0,0,0,0,0,-1,6188.8,1231,1207.3,964.3,-807.4,10849.3,502.2,401.4,11.3,642.3,12000,1500,No
8201,5000,F,2,Soltero,24,0,0,2,2,0,0,4639.3,5002.2,5089.5,4859.8,4766.8,4540,470,200,0,220,200,200,No
8202,15000,F,1,Casado,34,-1,-1,-1,-1,-1,-1,977.9,6091.1,1979.6,172.5,115,0,6116.8,1979.6,172.5,115,0,0,No
8203,13000,F,2,Casado,44,2,2,2,2,2,2,9980.1,10240.3,10382.8,10413.9,10651.9,10910.9,510,400,350,420,450,350,No
8204,2000,F,1,Soltero,22,0,0,2,0,0,0,1000.3,1332.9,1161.3,1075,1060.6,726.3,421.1,0,23.7,24.2,16.3,2.2,No
8205,15000,M,1,Casado,40,0,0,0,0,-1,0,12354.8,9499.5,5287.4,6426.9,7335.1,6825.7,422.1,309.4,3045.4,10004.9,509.8,3024.2,No
8206,24000,M,1,Casado,42,0,0,0,0,0,0,7233.9,9104.5,9102.7,5150.8,5112.7,0,2000,221.3,103,102.3,679,1089.3,No
8207,5000,M,3,Casado,45,0,0,0,0,0,0,2987.5,1502.8,563.9,638.9,713,785.7,170,125,100,100,100,100,No
8208,5000,M,3,Casado,51,0,0,0,0,0,0,4304.5,4296.5,4313.2,4399.5,4323,4333.4,173.8,165.3,151.6,153,213.9,157.2,No
8209,27000,M,1,Casado,51,-1,-1,-1,-1,-2,-2,1998.4,209.9,1298.5,0,0,0,209.9,1305.6,0,0,0,0,Si
8210,2000,F,2,Soltero,28,0,0,0,0,0,0,1081.8,1193.8,1294.9,1333.2,1361.8,1461.9,130,121.7,60,50,123,0,No
8211,30000,F,2,Casado,33,-2,-2,-2,-2,-2,-2,1161.3,1289.3,1084.1,1190,0,0,151.3,100,105.9,0,0,5116.7,No
8212,39000,M,1,Casado,34,0,0,0,-1,0,0,9170.1,6858.7,10121.1,9672.5,12581,18212.2,6008.1,8490.8,12108.1,8000,8500,800,No
8213,11000,F,1,Casado,37,0,0,2,0,0,0,1451.9,1698.2,1600.2,1526.2,1562.6,1446.5,353.6,0.3,52.1,100,52,32.5,No
8214,9000,M,2,Casado,58,0,0,0,0,0,0,8581.8,8898.8,5078,5092.9,4873.5,4974.6,510,220,220,194.4,220,200,No
8215,30000,F,2,Casado,30,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No
8216,45000,M,3,Casado,42,2,0,0,0,0,0,15265.2,12870.8,10042.9,7706.9,6385.1,3687.7,703.2,300.3,1000,1100,300,5800,Si
8217,2000,M,2,Soltero,30,0,0,0,2,2,2,1672.8,1775.9,1975.2,1915.5,2038.5,1921.8,130.7,230,0,152.5,0,100,Si
8218,50000,F,1,Soltero,33,1,-1,-1,-1,-1,-1,0,21.2,29.8,30.6,15,31.6,21.2,29.8,30.6,15,31.6,0,No
8219,3000,F,2,Soltero,46,0,0,0,0,0,0,3200.6,6007.9,2688.2,2757,2807.5,2906.5,175.5,150,113.5,110,145.5,77.5,No
8220,5000,M,2,Soltero,51,0,0,0,2,2,0,1509.6,1654.1,1835.6,1818.1,1828.5,1022,200,240,42,60,60,50,Si
8221,14000,F,2,Soltero,26,-1,0,0,0,0,0,958.9,7812.2,7932.7,11785.9,12055.6,12289.4,7000,310,4000,460,450,480,No
8222,1000,M,2,Casado,43,3,2,2,4,3,2,826.1,947,1116.3,1085.2,1039.6,1008.5,150,200,0,0,0,35,Si
8223,12000,F,2,Soltero,37,-2,-2,-2,-2,-2,-1,87.4,0,0,0,30.5,2050.2,0,0,0,30.5,2174.2,0,No
8224,3000,M,2,Soltero,30,4,3,2,2,2,0,3056.2,2980.9,2892,2988.7,2952.5,2500.6,0,0,190,1.5,103,3080.2,No
8225,3000,F,2,Casado,22,1,2,2,2,2,0,2803.7,2905.5,2830.3,2946.2,2885.9,2912.2,174.5,0,355.4,0,119,103,No
8226,2000,M,1,Soltero,33,1,2,2,2,2,2,1797.1,1739.9,1905.7,1845.3,1975.5,1928.8,0,226,0,160,0,64.4,No
8227,1000,M,3,Soltero,36,-1,-1,-1,-1,2,2,651.7,34.4,0,1004,973.5,1036.2,34.4,90,1004,0,79,0,No
8228,11000,F,2,Casado,35,0,0,0,0,0,0,11402.3,10285,6663.9,5759.5,5881.4,6008.6,409.7,336,210,210,220,300,Si
8229,28000,F,1,Casado,29,-1,-1,-1,-1,-1,-1,259.7,380.7,116,98.5,0,6586.2,380.7,116,98.5,0,6586.2,6624,No
8230,50000,M,1,Casado,42,0,0,0,0,0,0,58092.8,59779.3,59741.5,56903.4,55170.2,56863.8,2562.4,2189.8,2085.1,1959.9,2600,2000,No
8231,5000,F,3,Casado,46,4,5,4,3,2,0,3310,3231.9,3149.9,3074.8,3016.2,3001.6,0,0,0,0,310,79.8,Si
8232,23000,M,2,Casado,30,-1,-1,-2,-1,-1,-1,520,0,0,878,1199,0,0,0,878,1199,0,0,No
8233,5000,M,2,Casado,53,-1,-1,-1,-1,-1,-1,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,No
8234,12000,F,2,Soltero,24,0,0,0,0,0,2,1532.2,1626.7,4584.4,4708.2,5430.7,5329,150,3000,200,800,0,500,No
8235,3000,M,2,Soltero,26,0,0,0,0,0,0,2630.1,2737.6,2835.9,2484.4,2536.4,2593.5,150,145,88.9,92,99.2,100,No
8236,33000,F,2,Casado,28,0,0,0,0,2,2,22507.9,22994.7,23312.2,24641.4,25333.8,24910.7,1000,850.7,1721.5,1100,0,1200,No
8237,36000,M,2,Casado,30,-1,-1,-1,0,0,0,632.3,693.4,1717,1115.2,600,0,700.1,1717.3,100,100,0,20000,No
8238,4000,M,1,Soltero,26,0,0,0,0,2,2,658.6,761.8,848.4,1033.3,1002.3,1125.8,130,115,200,0,140,0,No
8239,11000,F,1,Soltero,29,2,0,0,0,0,0,10632.1,10763,10635.4,7915.4,6998.8,6901.8,433.4,425,294.6,250.6,245.8,252.4,Si
8240,4000,F,3,Casado,39,-2,-2,-2,-2,-2,-2,795.5,539.2,515.1,343.4,114.3,0,539.2,515.1,343.4,114.3,0,0,No
8241,7000,F,2,Casado,30,1,2,0,0,0,0,4249,3566.8,3239.7,2430.6,2431.6,2021.6,1.7,504.3,250,200.9,201.5,201,No
8242,10000,M,3,Soltero,26,2,0,0,0,0,0,10764.3,10989.5,9342,7311.9,7364.2,7157.9,404.8,310.5,270,251,270.3,270,Si
8243,21000,F,2,Casado,50,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No
8244,36000,M,2,Casado,38,-1,-1,-1,-1,2,-1,69.6,54.6,-15,169.2,84.6,84.6,54.6,0,253.8,0,84.6,69.6,No
8245,26000,M,2,Soltero,27,0,0,0,0,0,0,15094.3,14928.5,15177.9,13514.1,12447.5,10773.5,550.1,506.1,500,500,390,324.6,No
8246,20000,F,1,Soltero,34,-2,-2,-2,-2,-2,-2,50,81,50,0,0,30,81,50,0,0,30,0,No
8247,16000,M,1,Casado,43,-1,-1,-1,0,0,0,16.2,41.4,643.7,1652,1437.4,1096.9,41.4,643.7,1042.8,46.3,42.6,21.9,Si
8248,42000,F,2,Casado,29,0,0,0,0,0,0,5625.5,12121.5,13253.6,13170.4,33105.9,32895.8,7153.6,1253.6,1170.4,21205.9,1295.8,1281.9,No
8249,14000,F,1,Soltero,28,1,2,0,0,0,0,8676.1,8454.6,8725.1,8822.7,9017,9204.4,0,500,330,350,350,355,Si
8250,18000,M,1,Soltero,38,0,0,0,0,0,0,14151,14443.9,14652.9,15110.6,15390,0,670,600,700,690,0,0,Si
8251,15000,F,3,Casado,39,2,2,0,0,0,0,15399.4,14703.8,12249.8,7578.2,7130.6,6973.7,0,500,300,300,300,500,No
8252,3000,F,2,Casado,35,0,0,0,0,0,2,2220.6,2384.6,2455.4,2521.3,2763.8,2704.2,200,140.9,106.8,300,0,345,No
8253,50000,M,1,Soltero,34,0,0,0,0,0,0,800.7,1055.6,1433.2,2039.3,2263.3,2431.8,300,400,650,500,200,400,No
8254,24000,M,2,Casado,45,0,0,0,0,0,0,23786.8,24226,10154.2,3028.4,16867.4,17182.5,893.2,470.7,186.2,14006.1,526.2,530,No
8255,3000,M,1,Soltero,22,0,-1,0,0,0,2,294.9,1968.9,1768.1,1711.3,1336.8,1173.9,1968.9,209.2,150,150,0,16.1,No
8256,8000,M,2,Soltero,28,0,0,0,0,2,0,4791.6,4996.4,4996.5,5014.2,4688.8,4759.2,312.2,212.3,430,0,280,300,No
8257,8000,M,2,Soltero,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No
8258,31000,M,1,Casado,39,1,-1,0,0,0,0,16651.7,1890.1,1978.1,2243.2,2405.8,2564.6,15000,150,300,200,200,300,No
8259,18000,F,1,Soltero,33,0,0,0,0,0,0,9400.1,9955.8,10635.3,11304.7,11557.2,11766,800,1000,1000,450,450,530,No
8260,6000,F,2,Soltero,23,0,0,0,0,0,0,6370.9,6426.1,5024.3,1509.2,1203.7,1000,235.1,123.7,42.2,52.8,200,500,Si
8261,17000,F,2,Soltero,33,-1,-1,-2,-1,-1,-1,29.8,0,0,46.7,20.3,0,0,0,46.7,20.3,0,111.6,No
8262,18000,F,2,Casado,31,0,0,0,0,0,0,17351.7,16099.6,13205.4,11555.1,10953.9,10883.7,1012.2,3520.6,4060,500,1000,1000,No
8263,18000,M,2,Casado,28,0,0,0,0,0,0,18082.7,17591.4,17677.8,17244,16891.4,17164.5,660,773.8,620,641.8,1300,0,Si
8264,35000,M,2,Casado,42,-1,-1,-1,0,0,-1,103.7,136,868.6,306.1,39.6,39.1,136.5,872.2,7.2,0,39.1,140.6,No
8265,36000,M,2,Casado,36,0,0,-1,-1,-1,-1,2032.8,1266.4,190.1,235.5,420.6,588.9,120.4,190.1,235.5,420.6,588.9,0,No
8266,14000,M,2,Casado,46,0,0,0,0,0,-1,13389.9,13717.1,13941.4,9726.8,9996,8672.8,542.5,497.9,371.5,449.8,8672.8,241.2,Si
8267,31000,F,3,Soltero,30,-1,0,0,0,0,0,11810.9,13110.7,9700.9,5175.7,5000.9,4526.2,1800.8,2000,1200,500,300,190,No
8268,3000,M,3,Soltero,25,0,0,0,0,0,2,2282.1,2384.6,2486.4,2536,2699.9,2641.4,139.7,141.5,91.1,205.1,0,150,No
8269,20000,M,1,Soltero,32,-1,-1,-1,-1,-1,2,549.4,1961.4,62.8,62.8,160.4,66.8,1961.4,62.8,62.8,160.4,0,16.8,Si
8270,12000,F,1,Soltero,37,2,2,2,2,2,2,74.4,74.4,74.4,118.8,59.4,103.8,44.4,44.4,88.8,0,88.8,0,Si
8271,26000,M,1,Casado,45,0,0,0,0,0,0,2148,2579.1,3165.4,3578.4,4072.6,4592.3,500,678.1,500,645.2,669.6,689.2,No
8272,6000,F,1,Soltero,32,0,0,0,0,0,0,3114.2,3147.3,3168.4,3183.7,3224.6,3212.2,184.2,200,200,200,150,300,No
8273,5000,M,2,Soltero,24,0,0,0,0,0,0,1083.4,1177.1,1276.2,1276.9,1351.2,1477.2,150.9,150,60.5,150,150,300,No
8274,8000,M,1,Soltero,28,0,0,0,2,0,0,4793.3,3969.5,4237.2,4139.3,4227.5,4341.8,210,365,0,170,200,300,No
8275,6000,M,1,Casado,46,1,2,0,0,0,0,6206.3,6051.3,6039.8,3119.4,3034.3,3042.7,0,174.4,110,107.4,120,100,No
8276,20000,F,3,Casado,27,1,2,2,2,3,4,10430.7,10178.8,11000,11500,12000,12764,0,1000,500,500,766.1,660.8,No
8277,14000,F,1,Soltero,28,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No
8278,3000,M,2,Soltero,25,0,0,0,0,0,0,2632.8,2747,2854.1,2850.9,2926.5,0,186.8,193.9,90.7,110,0,0,Si
8279,11000,F,2,Casado,34,0,0,2,2,2,2,4378,4807.6,4898.9,4790,5212.3,5113.1,500,200,0,500,0,500,No
8280,9000,F,3,Casado,39,-1,-1,-1,-1,-1,-1,732.8,369.7,448.7,316.9,384.7,540.3,378.4,451.1,317.4,385.2,541.7,472,No
8281,4000,F,1,Soltero,27,1,-1,-1,-2,-1,-1,0,45,0,0,24.7,0,45,0,0,24.7,0,0,No
8282,11000,F,1,Casado,29,-1,-1,-1,-1,0,-1,326.1,138,138,276,138,170,138,138,276,0,170,0,No
8283,64000,F,1,Soltero,30,0,0,0,0,0,0,11671.4,7789.3,6025.9,4053.9,2643.2,501.8,400,400,200.3,720.2,531.4,353.5,No
8284,2000,M,3,Soltero,51,0,0,0,0,-1,-1,995.3,1398.9,1495.3,1471,90,0,500,127.5,270.4,320,0,0,No
8285,5000,F,2,Casado,36,0,0,0,0,0,0,4462.5,4607.8,4668.9,826.1,843.4,873.8,217.4,178.5,29.6,30.6,44.4,1068.6,No
8286,3000,M,2,Casado,25,-1,-1,-2,-1,2,2,3052.7,2991,0,2591.9,2638.3,2569.1,138.9,0,2591.9,100,0,1928.3,No
8287,14000,F,2,Soltero,32,0,0,0,0,0,0,13649.7,13550.5,13762.9,12014.7,12224.7,12257.4,500,500,430,500,515.8,420,No
8288,7000,M,2,Soltero,36,1,-1,-1,0,0,0,0,69,2556.6,2622.7,2637.5,2651,69,2556.6,106.6,109.1,110,131.2,No
8289,8000,F,2,Casado,42,0,0,0,0,0,0,2393.1,2336.6,2227.5,2163.1,2296.1,1926.9,150,200,100,300,100,100,Si
8290,10000,F,1,Soltero,31,-2,-2,-2,-2,-2,-2,0,0,0,96,96,118.5,0,0,96,0,118.5,37.9,No
